[07/01/2026 15:28:28.176 -03] [tenantId=] [---- traceId -----              ] [background-preinit               ] [INFO ] [org.hibernate.validator.internal.util.Version                         ] HV000001: Hibernate Validator 8.0.2.Final 
[07/01/2026 15:28:28.419 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.OrcamentoApplication                            ] Starting OrcamentoApplication v1.0.0 using Java 21.0.6 with PID 31428 (C:\Projetos\orcamento\target\orcamento-1.0.0.jar started by Meu Computador in C:\Projetos\orcamento) 
[07/01/2026 15:28:49.283 -03] [tenantId=] [---- traceId -----              ] [main                             ] [DEBUG] [com.example.orcamento.OrcamentoApplication                            ] Running with Spring Boot v3.4.3, Spring v6.2.3 
[07/01/2026 15:28:49.284 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.OrcamentoApplication                            ] No active profile set, falling back to 1 default profile: "default" 
[07/01/2026 15:28:51.686 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [o.s.data.repository.config.RepositoryConfigurationDelegate            ] Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
[07/01/2026 15:28:51.844 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [o.s.data.repository.config.RepositoryConfigurationDelegate            ] Finished Spring Data repository scanning in 149 ms. Found 21 JPA repository interfaces. 
[07/01/2026 15:28:54.129 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer          ] Tomcat initialized with port 8045 (http) 
[07/01/2026 15:28:57.217 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.apache.coyote.http11.Http11NioProtocol                            ] Initializing ProtocolHandler ["http-nio-8045"] 
[07/01/2026 15:28:57.264 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.apache.catalina.core.StandardService                              ] Starting service [Tomcat] 
[07/01/2026 15:28:57.265 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.apache.catalina.core.StandardEngine                               ] Starting Servlet engine: [Apache Tomcat/10.1.36] 
[07/01/2026 15:28:57.322 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]       ] Initializing Spring embedded WebApplicationContext 
[07/01/2026 15:28:57.323 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [o.s.boot.web.servlet.context.ServletWebServerApplicationContext       ] Root WebApplicationContext: initialization completed in 7993 ms 
[07/01/2026 15:28:57.616 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] Inicializando TenantLoggingFilter... 
[07/01/2026 15:28:57.617 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tentando carregar a classe TenantContext... 
[07/01/2026 15:28:57.631 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] ✅ TenantContext carregado com sucesso: class com.example.orcamento.security.TenantContext 
[07/01/2026 15:28:57.632 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] 🔍 ClassLoader do TenantContext: org.springframework.boot.loader.launch.LaunchedClassLoader@6193b845 
[07/01/2026 15:28:57.714 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] 🔍 ClassLoader do TenantLoggingFilter: org.springframework.boot.loader.launch.LaunchedClassLoader@6193b845 
[07/01/2026 15:28:57.781 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] 🔍 Verificando métodos de TenantContext... 
[07/01/2026 15:28:57.781 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] ✅ Método encontrado: public static java.lang.String com.example.orcamento.security.TenantContext.getTenantId() 
[07/01/2026 15:28:57.783 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] ✅ Método encontrado: public static void com.example.orcamento.security.TenantContext.setTenantId(java.lang.String) 
[07/01/2026 15:28:57.783 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] ✅ Chamada estática para TenantContext.getTenantId() retornou: null 
[07/01/2026 15:28:58.090 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.hibernate.jpa.internal.util.LogHelper                             ] HHH000204: Processing PersistenceUnitInfo [name: default] 
[07/01/2026 15:28:58.797 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.hibernate.Version                                                 ] HHH000412: Hibernate ORM core version 6.6.8.Final 
[07/01/2026 15:28:58.861 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.hibernate.cache.internal.RegionFactoryInitiator                   ] HHH000026: Second-level cache disabled 
[07/01/2026 15:28:59.223 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo ] No LoadTimeWeaver setup: ignoring JPA class transformer 
[07/01/2026 15:28:59.266 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.zaxxer.hikari.HikariDataSource                                    ] HikariPool-1 - Starting... 
[07/01/2026 15:29:01.338 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.zaxxer.hikari.pool.HikariPool                                     ] HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@78f4d15d 
[07/01/2026 15:29:02.519 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.zaxxer.hikari.HikariDataSource                                    ] HikariPool-1 - Start completed. 
[07/01/2026 15:29:03.130 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.hibernate.orm.connections.pooling                                 ] HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 8.0.33
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown 
[07/01/2026 15:29:04.385 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [o.h.engine.transaction.jta.platform.internal.JtaPlatformInitiator     ] HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) 
[07/01/2026 15:29:06.139 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean    ] Initialized JPA EntityManagerFactory for persistence unit 'default' 
[07/01/2026 15:29:06.611 -03] [tenantId=] [---- traceId -----              ] [main                             ] [DEBUG] [com.example.orcamento.security.JwtAuthenticationFilter                ] Filter 'jwtAuthenticationFilter' configured for use 
[07/01/2026 15:29:10.703 -03] [tenantId=] [---- traceId -----              ] [main                             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Filter 'tenantLoggingFilter' configured for use 
[07/01/2026 15:29:10.758 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.springframework.data.jpa.repository.query.QueryEnhancerFactory    ] Hibernate is in classpath; If applicable, HQL parser will be used. 
[07/01/2026 15:29:12.992 -03] [tenantId=] [---- traceId -----              ] [main                             ] [WARN ] [o.s.b.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration  ] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
[07/01/2026 15:29:13.021 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer] Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService 
[07/01/2026 15:29:13.534 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver   ] Exposing 1 endpoint beneath base path '/actuator' 
[07/01/2026 15:29:13.628 -03] [tenantId=] [---- traceId -----              ] [main                             ] [WARN ] [o.s.s.c.a.w.c.AuthorizeHttpRequestsConfigurer$AuthorizationManagerRequestMatcherRegistry] One of the patterns in [api/v1/pessoas/**] is missing a leading slash. This is discouraged; please include the leading slash in all your request matcher patterns. In future versions of Spring Security, leaving out the leading slash will result in an exception. 
[07/01/2026 15:29:15.993 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.apache.coyote.http11.Http11NioProtocol                            ] Starting ProtocolHandler ["http-nio-8045"] 
[07/01/2026 15:29:16.635 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer          ] Tomcat started on port 8045 (http) with context path '/' 
[07/01/2026 15:29:21.874 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.OrcamentoApplication                            ] Started OrcamentoApplication in 54.76 seconds (process running for 74.372) 
[07/01/2026 15:29:24.454 -03] [tenantId=] [---- traceId -----              ] [main                             ] [INFO ] [com.example.orcamento.config.DataInitializer                          ] Usuários já existem no banco. Nenhum usuário admin criado. 
[07/01/2026 15:30:39.115 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-3             ] [INFO ] [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]       ] Initializing Spring DispatcherServlet 'dispatcherServlet' 
[07/01/2026 15:30:39.164 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-3             ] [INFO ] [org.springframework.web.servlet.DispatcherServlet                     ] Initializing Servlet 'dispatcherServlet' 
[07/01/2026 15:30:39.166 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-3             ] [INFO ] [org.springframework.web.servlet.DispatcherServlet                     ] Completed initialization in 1 ms 
[07/01/2026 15:30:39.334 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-2             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/cartoes-credito 
[07/01/2026 15:30:39.334 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-5             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/despesas/por-mes/2026 
[07/01/2026 15:30:39.335 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-5             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[07/01/2026 15:30:39.336 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-5             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/despesas/por-mes/2026 
[07/01/2026 15:30:39.336 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-6             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/receitas/por-mes/2026 
[07/01/2026 15:30:39.336 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-3             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/receitas/por-mes-e-tipo/2026 
[07/01/2026 15:30:39.338 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-2             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[07/01/2026 15:30:39.336 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-1             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/salarios-previstos/por-ano/2026 
[07/01/2026 15:30:39.338 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-6             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[07/01/2026 15:30:39.338 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-3             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[07/01/2026 15:30:39.338 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-4             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/lancamentos-cartao/faturas-ano 
[07/01/2026 15:30:39.338 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-2             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/cartoes-credito 
[07/01/2026 15:30:39.338 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-1             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[07/01/2026 15:30:39.338 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-6             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/receitas/por-mes/2026 
[07/01/2026 15:30:39.338 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-3             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/receitas/por-mes-e-tipo/2026 
[07/01/2026 15:30:39.339 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-4             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
[07/01/2026 15:30:39.339 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-1             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/salarios-previstos/por-ano/2026 
[07/01/2026 15:30:39.339 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-4             ] [INFO ] [com.example.orcamento.logging.TenantLoggingFilter                     ] [TENANT] Nova requisição recebida | tenantId=null | método=GET | endpoint=/api/v1/lancamentos-cartao/faturas-ano 
[07/01/2026 15:30:39.606 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-9             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/contas-corrente 
[07/01/2026 15:30:39.606 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-7             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/cartoes-credito 
[07/01/2026 15:30:39.606 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-10            ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/metas-economia 
[07/01/2026 15:30:39.606 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-8             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Iniciando filtro de tenant para: GET /api/v1/despesas/filtrar-dinamico 
[07/01/2026 15:30:39.606 -03] [tenantId=] [---- traceId -----              ] [http-nio-8045-exec-7             ] [DEBUG] [com.example.orcamento.logging.TenantLoggingFilter                     ] Tenant ID obtido: null 
